slug,title,objective,phase,zone,ageBands,categories,durationMin,playersMin,playersMax,equipment,setup,constraints,progression,coachingPts,tags
4v4_zone_shift,4v4 Zone Shift & Cover (28x20m),Train coordinated lateral shifts and cover responsibilities in two lines.,DEFENDING,DEFENSIVE_THIRD,U9-U11,"4v4,compact,shape",20,8,12,"Cones, balls",28x20m grid split into three vertical lanes. 4v4 directional play.,Defenders cannot vacate lane until pass is made to it.,"After switch, nearest presses, others slide and cover.",Shift early; Compact around ball; Protect inside; Cover weak side; Reset distances,"compact,zone_defense"
4v4_box_defend_crosses,4v4 Box Defending vs Crosses (24x18m),Reinforce compact box defending and cover on aerial/low service.,DEFENDING,DEFENSIVE_THIRD,U9-U11,"4v4,cross_defense,compact",15,8,12,"Cones, balls, wide servers",24x18m box in front of goal; servers from both flanks deliver crosses.,Defenders must stay within 16m width when ball central.,Add runner from edge to attack second phase.,Protect goal side; Mark in zones; Attack first ball; Cover second ball; Clear wide,"cross_defense,compact"
rondo_5v3_trigger_press,Rondo 5v3 with Triggered Press (16x16m),Teach when to press vs delay using poor-touch and back-to-goal cues.,DEFENDING,DEFENSIVE_THIRD,U9-U11,"rondo,press,delay",12,8,12,"Cones, balls","16x16m grid, 5v3. Defenders stay compact until a trigger appears.",Only press on clear cue; otherwise stay compact in triangle cover.,"On regain, play to gates for +1 point.",Read triggers; Compact triangle; Cover behind press; Delay if no cue; Quick burst to win,"press,delay"
rondo_4v2_cover_only,Rondo 4v2 Cover-Only Intercepts (12x12m),Develop cover angles and anticipation without tackling.,DEFENDING,DEFENSIVE_THIRD,U9-U11,"rondo,cover,anticipation",10,6,9,"Cones, balls",12x12m 4v2. Defenders can only intercept passes—no tackles.,Defenders must remain within 6m of each other.,Add third defender to create rotating triangle.,Screen lanes; Check shoulders; Angle inside; Stay connected; Jump on telegraph,"rondo,cover"
rondo_split_gate_counter,Rondo Split-Gate Counter (14x14m),Link compact defending to fast counter through gates on regain.,DEFENDING,DEFENSIVE_THIRD,U9-U11,"rondo,delay,transition",10,8,12,"Cones, balls, two gates","14x14m. 5v3 or 4v2. On regain, defenders must exit via gate within 4s.",Must complete 2 passes before exit to encourage composure.,Add chaser to pressure counter timing.,Win then secure; Compact to win; First pass safe; Open body; Sprint to gate,"transition,delay"
recover_delay_2v1_gate,Recover & Delay 2v1 to Gate (24x16m),"Build recovery speed, angle to delay, and compact cover on arrival.",DEFENDING,DEFENSIVE_THIRD,U9-U11,"transition,delay,cover",12,6,10,"Cones, balls, gate markers",24x16m with 2m gate. Ball lost near halfway; attackers break 2v1.,Defender wins if attack delayed ≥6s or forced wide through gate.,Add trailing defender after 3s to create 2v2.,"Sprint recovery; Arc run inside; Hands low, steps small; Delay shot; Call cover","recovery,delay"
recover_triangle_3v2,Recovery Triangle 3v2 (26x18m),Train two recovering defenders to re-form compact triangle with a holding mid.,DEFENDING,DEFENSIVE_THIRD,U9-U11,"transition,compact,cover",15,8,12,"Cones, balls",26x18m; 3 attackers vs 2 recovering defenders + late DM arriving.,Attack must shoot within 8s; defenders earn 2 points if triangle formed first.,Release DM arrival earlier as players improve.,Form triangle first; Delay edge of box; Screen pass; Cover runner; Clear danger,"compact,transition"
last_defender_delay_lane,Last Defender Delay in Central Lane (22x12m),Coach lone defender to delay centrally and protect the goal lane.,DEFENDING,DEFENSIVE_THIRD,U9-U11,"delay,last_defender,1v1",10,4,8,"Cones, balls, mini goal",22x12m corridor. Attacker drives at speed; defender retreats shaping inside.,No tackle in first 2s; point for forcing back pass.,Add recovering chaser from behind attacker.,Backpedal then side-on; Protect middle; Delay finish; Tackle late; Signal cover,"last_defender,delay"
central_box_screen_2v2,Central Box Screen 2v2 (18x14m),Protect central box by delaying and screening through passes.,DEFENDING,DEFENSIVE_THIRD,U9-U11,"2v2,central_defending,delay",12,6,10,"Cones, balls, mini goals",18x14m with a 6x6m 'no-entry' central box for defenders to screen.,Attackers cannot run through box; must pass around to finish.,Allow entry after 5 passes to test cover reactions.,Screen first; Compact narrow; Delay to gather; Show wide; Step on poor touch,"central_defending,delay"
central_gate_protect_3v3,Central Gate Protect 3v3 (20x15m),Reinforce compactness by guarding central gates and delaying shots.,DEFENDING,DEFENSIVE_THIRD,U9-U11,"3v3,compact,delay",15,6,12,"Cones, two 1m gates, balls",20x15m; two central 1m gates 8m from goal. 3v3 directional.,Goals only count if the through pass goes via a gate.,Add third gate wide to provoke shifting.,Compact around gates; Cover behind press; Delay line-breaking; Track runners; Reset shape,"compact,gates"
central_box_press_cues_4v3,Central Box Press Cues 4v3 (22x16m),Teach when to press vs delay around a central hot-zone.,DEFENDING,DEFENSIVE_THIRD,U9-U11,"4v3,press,compact",15,8,12,"Cones, balls",22x16m with 8x6m central hot-zone. 4 defenders vs 3 attackers.,Only press into hot-zone on poor touch/back-to-goal; otherwise screen.,Reduce hot-zone size as players improve.,Read cue; Screen first; Cover depth; Delay switches; Collapse on trigger,"press,compact"
switch_shift_compact_4v4,Switch & Shift Compact 4v4 (30x20m),Improve lateral compactness and cover against quick switches.,DEFENDING,DEFENSIVE_THIRD,U9-U11,"4v4,compact,cover",20,8,12,"Half pitch channel, cones",30x20m with three lanes. Attackers circulate to switch; defenders slide as a block.,Defensive width must stay ≤ 18m when ball central.,Add target wide player to force bigger shifts.,Shift early; Protect inside; Cover back post; Delay entry; Communicate slide,"compact,shift"
defend_cross_low_high_4v3,Defend Low & High Crosses 4v3 (24x18m),Coach compact positions to stop cutbacks and crosses.,DEFENDING,DEFENSIVE_THIRD,U9-U11,"4v3,cross_defense,cover",15,8,12,"Cones, balls, servers",24x18m; flanking servers alternate low/high crosses vs 3 attackers.,"Defenders earn 1 pt for first-ball, 1 pt for second-ball clearance.",Add late edge runner for rebounds.,Near-post ready; Mark zone; Cover far post; Win second ball; Push line out,"cross_defense,cover"
switch_trap_delay_3v3,Switch Trap & Delay 3v3 (24x16m),Set traps to invite switch then delay while sliding compactly.,DEFENDING,DEFENSIVE_THIRD,U9-U11,"3v3,compact,delay",12,6,12,"Cones, balls",24x16m; defenders overload ball side and leave far lane baited.,Points for forcing a switch+delay >4s before entry.,Allow diagonal skip pass to test recover.,Bait far side; Slide fast; Arrive slow; Cover middle; Reset distances,"compact,trap"
drop_block_box_defense,Drop & Block Box Defense (26x18m),Rehearse dropping together to protect box and delay shots.,DEFENDING,DEFENSIVE_THIRD,U9-U11,"team_shape,compact,delay",18,8,12,"Cones, balls, mini goal",26x18m in front of goal. Start with ball wide; defenders drop in unison.,Line must stay within 8m vertically to midfield.,Add opposite switch then shot scenario.,Drop together; Compact lane; Delay edge shots; Cover cutback; Step once secure,"compact,box_defense"
protect_cutback_lane_4v4,Protect Cutback Lane 4v4 (22x16m),Improve recognition and cover of the 'cutback lane' inside the box.,DEFENDING,DEFENSIVE_THIRD,U9-U11,"4v4,cover,cutback",15,8,12,"Cones, balls, two mini goals",22x16m; wide attacker can drive end line to cut back.,Goals only from cutbacks to central lane.,Let weak-side join late to test far-post cover.,Mark goal side; Screen cutback; Delay crosser; Body half-turned; Clear central,"cutback,cover"
goal_line_scramble_compact,Goal-Line Scramble Compactness (16x14m),Build compact reactions under second-ball chaos near goal.,DEFENDING,DEFENSIVE_THIRD,U9-U11,"scramble,compact,cover",10,8,12,"Cones, balls",16x14m; coach serves rebounds/deflections toward six-yard area.,Defenders must keep ≤ 10m team width.,Add call of 'step!' to trigger coordinated push out.,Win first contact; Cover zones; Stay narrow; Delay follow-up; Step together,"scramble,compact"
2v3_numbers_down_delay,2v3 Numbers-Down Delay (24x16m),Coach delaying and compact cover when outnumbered.,DEFENDING,DEFENSIVE_THIRD,U9-U11,"numbers_down,delay,cover",12,6,10,"Cones, balls, mini goal",24x16m; attackers have 8s to score; 2 defenders aim to delay and funnel.,No tackles first 2s; points for delays ≥6s.,Release a third defender after 3s to re-balance.,Protect middle; Force wide; Travel then delay; Cover runner; Communicate arrival,"numbers_down,delay"
3v4_low_block_hold,3v4 Low Block Hold (24x18m),Practice compact low block to deny central penetration.,DEFENDING,DEFENSIVE_THIRD,U9-U11,"low_block,compact,cover",15,8,12,"Cones, balls, mini goal","24x18m; 3 defenders vs 4 attackers, play starts at top of box.",Defensive width ≤ 14m at all times.,Add edge shooter to train stepping to ball.,Stay tight; Screen 10 space; Cover depth; Delay shot; Step on poor touch,"low_block,compact"
1v2_last_defender_delay,1v2 Last Defender Delay (22x14m),Train single defender to delay vs two attackers until cover returns.,DEFENDING,DEFENSIVE_THIRD,U9-U11,"last_defender,delay,transition",8,4,8,"Cones, balls",22x14m; two attackers break from halfway; defender retreats inside lane.,No tackle first 2s; score if delay ≥6s.,Release chaser to create 2v2 after 3s.,Retreat central; Angle body; Slow at 3m; Delay pass; Signal cover,"last_defender,delay"
width_control_gate_game,Width-Control Gate Game 3v3 (20x15m),Control team width while delaying to block central gates.,DEFENDING,DEFENSIVE_THIRD,U9-U11,"3v3,compact,gates",12,6,12,"Cones, 2 small gates, balls",20x15m with two central gates 5m apart. 3v3 directional.,Defensive team width must stay ≤ 12m when ball central.,Add third gate wide to test shifting discipline.,Keep narrow; Shift on pass; Cover inside; Delay break; Reset quickly,"compact,gates"
depth_control_line_compact,Depth-Control Line Compact 4v4 (28x18m),Manage vertical distances between lines while delaying progression.,DEFENDING,DEFENSIVE_THIRD,U9-U11,"4v4,compact,shape",18,8,12,"Cones, balls",28x18m with a 'line gap' stripe; two lines must stay ≤ 8m apart.,Free kicks restart from stripe to test reset speed.,Add target players just beyond stripe.,Squeeze space; Check gaps; Cover depth; Delay until set; Step together,"compact,vertical"
compact_pivot_screen_3v3,Compact Pivot Screen 3v3 (20x14m),Screen the pivot pass while delaying and covering runners.,DEFENDING,DEFENSIVE_THIRD,U9-U11,"3v3,screen,compact",12,6,12,"Cones, balls",20x14m; one attacker acts as pivot target; defenders screen central lane.,Attacking goals only count via pivot combination.,Allow pivot to float to new pocket to force shifting.,Front foot screens; Body half-open; Cover back; Delay wall pass; Track 3rd man,"screen,compact"
